N	position	value	word_length	normalized_position
5	1	1	5	0.2
5	2	1	5	0.4
5	5	6	5	1.0
6	1	1	6	0.16666666666666666
6	2	1	6	0.3333333333333333
6	3	4	6	0.5
6	6	8	6	1.0
7	1	1	9	0.1111111111111111
7	2	1	9	0.2222222222222222
7	3	1	9	0.3333333333333333
7	4	4	9	0.4444444444444444
7	9	10	9	1.0
8	1	1	11	0.09090909090909091
8	2	1	11	0.18181818181818182
8	3	1	11	0.2727272727272727
8	4	6	11	0.36363636363636365
8	11	12	11	1.0
9	1	1	15	0.06666666666666667
9	2	1	15	0.13333333333333333
9	3	1	15	0.2
9	4	1	15	0.26666666666666666
9	5	6	15	0.3333333333333333
9	15	14	15	1.0
10	1	1	17	0.058823529411764705
10	2	1	17	0.11764705882352941
10	3	1	17	0.17647058823529413
10	4	1	17	0.23529411764705882
10	5	8	17	0.29411764705882354
10	12	4	17	0.7058823529411765
10	17	16	17	1.0
11	1	1	22	0.045454545454545456
11	2	1	22	0.09090909090909091
11	3	1	22	0.13636363636363635
11	4	1	22	0.18181818181818182
11	5	1	22	0.22727272727272727
11	6	8	22	0.2727272727272727
11	15	4	22	0.6818181818181818
11	22	18	22	1.0
12	1	1	26	0.038461538461538464
12	2	1	26	0.07692307692307693
12	3	1	26	0.11538461538461539
12	4	1	26	0.15384615384615385
12	5	1	26	0.19230769230769232
12	6	10	26	0.23076923076923078
12	17	4	26	0.6538461538461539
12	26	20	26	1.0
13	1	1	32	0.03125
13	2	1	32	0.0625
13	3	1	32	0.09375
13	4	1	32	0.125
13	5	1	32	0.15625
13	6	1	32	0.1875
13	7	10	32	0.21875
13	21	4	32	0.65625
13	32	22	32	1.0
14	1	1	36	0.027777777777777776
14	2	1	36	0.05555555555555555
14	3	1	36	0.08333333333333333
14	4	1	36	0.1111111111111111
14	5	1	36	0.1388888888888889
14	6	1	36	0.16666666666666666
14	7	12	36	0.19444444444444445
14	23	6	36	0.6388888888888888
14	36	24	36	1.0
15	1	1	43	0.023255813953488372
15	2	1	43	0.046511627906976744
15	3	1	43	0.06976744186046512
15	4	1	43	0.09302325581395349
15	5	1	43	0.11627906976744186
15	6	1	43	0.13953488372093023
15	7	1	43	0.16279069767441862
15	8	12	43	0.18604651162790697
15	27	6	43	0.627906976744186
15	43	26	43	1.0
16	1	1	49	0.02040816326530612
16	2	1	49	0.04081632653061224
16	3	1	49	0.061224489795918366
16	4	1	49	0.08163265306122448
16	5	1	49	0.10204081632653061
16	6	1	49	0.12244897959183673
16	7	1	49	0.14285714285714285
16	8	14	49	0.16326530612244897
16	30	6	49	0.6122448979591837
16	49	28	49	1.0
17	1	1	57	0.017543859649122806
17	2	1	57	0.03508771929824561
17	3	1	57	0.05263157894736842
17	4	1	57	0.07017543859649122
17	5	1	57	0.08771929824561403
17	6	1	57	0.10526315789473684
17	7	1	57	0.12280701754385964
17	8	1	57	0.14035087719298245
17	9	14	57	0.15789473684210525
17	35	6	57	0.6140350877192983
17	57	30	57	1.0
18	1	1	63	0.015873015873015872
18	2	1	63	0.031746031746031744
18	3	1	63	0.047619047619047616
18	4	1	63	0.06349206349206349
18	5	1	63	0.07936507936507936
18	6	1	63	0.09523809523809523
18	7	1	63	0.1111111111111111
18	8	1	63	0.12698412698412698
18	9	16	63	0.14285714285714285
18	38	8	63	0.6031746031746031
18	63	32	63	1.0
19	1	1	72	0.013888888888888888
19	2	1	72	0.027777777777777776
19	3	1	72	0.041666666666666664
19	4	1	72	0.05555555555555555
19	5	1	72	0.06944444444444445
19	6	1	72	0.08333333333333333
19	7	1	72	0.09722222222222222
19	8	1	72	0.1111111111111111
19	9	1	72	0.125
19	10	16	72	0.1388888888888889
19	43	8	72	0.5972222222222222
19	72	34	72	1.0
20	1	1	80	0.0125
20	2	1	80	0.025
20	3	1	80	0.0375
20	4	1	80	0.05
20	5	1	80	0.0625
20	6	1	80	0.075
20	7	1	80	0.0875
20	8	1	80	0.1
20	9	1	80	0.1125
20	10	18	80	0.125
20	47	8	80	0.5875
20	80	36	80	1.0
21	1	1	90	0.011111111111111112
21	2	1	90	0.022222222222222223
21	3	1	90	0.03333333333333333
21	4	1	90	0.044444444444444446
21	5	1	90	0.05555555555555555
21	6	1	90	0.06666666666666667
21	7	1	90	0.07777777777777778
21	8	1	90	0.08888888888888889
21	9	1	90	0.1
21	10	1	90	0.1111111111111111
21	11	18	90	0.12222222222222222
21	53	8	90	0.5888888888888889
21	90	38	90	1.0
22	1	1	98	0.01020408163265306
22	2	1	98	0.02040816326530612
22	3	1	98	0.030612244897959183
22	4	1	98	0.04081632653061224
22	5	1	98	0.05102040816326531
22	6	1	98	0.061224489795918366
22	7	1	98	0.07142857142857142
22	8	1	98	0.08163265306122448
22	9	1	98	0.09183673469387756
22	10	1	98	0.10204081632653061
22	11	20	98	0.11224489795918367
22	57	10	98	0.5816326530612245
22	98	40	98	1.0
23	1	1	109	0.009174311926605505
23	2	1	109	0.01834862385321101
23	3	1	109	0.027522935779816515
23	4	1	109	0.03669724770642202
23	5	1	109	0.045871559633027525
23	6	1	109	0.05504587155963303
23	7	1	109	0.06422018348623854
23	8	1	109	0.07339449541284404
23	9	1	109	0.08256880733944955
23	10	1	109	0.09174311926605505
23	11	1	109	0.10091743119266056
23	12	20	109	0.11009174311926606
23	63	10	109	0.5779816513761468
23	109	42	109	1.0
24	1	1	119	0.008403361344537815
24	2	1	119	0.01680672268907563
24	3	1	119	0.025210084033613446
24	4	1	119	0.03361344537815126
24	5	1	119	0.04201680672268908
24	6	1	119	0.05042016806722689
24	7	1	119	0.058823529411764705
24	8	1	119	0.06722689075630252
24	9	1	119	0.07563025210084033
24	10	1	119	0.08403361344537816
24	11	1	119	0.09243697478991597
24	12	22	119	0.10084033613445378
24	68	10	119	0.5714285714285714
24	119	44	119	1.0
25	1	1	131	0.007633587786259542
25	2	1	131	0.015267175572519083
25	3	1	131	0.022900763358778626
25	4	1	131	0.030534351145038167
25	5	1	131	0.03816793893129771
25	6	1	131	0.04580152671755725
25	7	1	131	0.05343511450381679
25	8	1	131	0.061068702290076333
25	9	1	131	0.06870229007633588
25	10	1	131	0.07633587786259542
25	11	1	131	0.08396946564885496
25	12	1	131	0.0916030534351145
25	13	22	131	0.09923664122137404
25	75	10	131	0.5725190839694656
25	131	46	131	1.0
26	1	1	141	0.0070921985815602835
26	2	1	141	0.014184397163120567
26	3	1	141	0.02127659574468085
26	4	1	141	0.028368794326241134
26	5	1	141	0.03546099290780142
26	6	1	141	0.0425531914893617
26	7	1	141	0.04964539007092199
26	8	1	141	0.05673758865248227
26	9	1	141	0.06382978723404255
26	10	1	141	0.07092198581560284
26	11	1	141	0.07801418439716312
26	12	1	141	0.0851063829787234
26	13	24	141	0.09219858156028368
26	80	12	141	0.5673758865248227
26	141	48	141	1.0
27	1	1	154	0.006493506493506494
27	2	1	154	0.012987012987012988
27	3	1	154	0.01948051948051948
27	4	1	154	0.025974025974025976
27	5	1	154	0.032467532467532464
27	6	1	154	0.03896103896103896
27	7	1	154	0.045454545454545456
27	8	1	154	0.05194805194805195
27	9	1	154	0.05844155844155844
27	10	1	154	0.06493506493506493
27	11	1	154	0.07142857142857142
27	12	1	154	0.07792207792207792
27	13	1	154	0.08441558441558442
27	14	24	154	0.09090909090909091
27	87	12	154	0.564935064935065
27	154	50	154	1.0
28	1	1	166	0.006024096385542169
28	2	1	166	0.012048192771084338
28	3	1	166	0.018072289156626505
28	4	1	166	0.024096385542168676
28	5	1	166	0.030120481927710843
28	6	1	166	0.03614457831325301
28	7	1	166	0.04216867469879518
28	8	1	166	0.04819277108433735
28	9	1	166	0.05421686746987952
28	10	1	166	0.060240963855421686
28	11	1	166	0.06626506024096386
28	12	1	166	0.07228915662650602
28	13	1	166	0.0783132530120482
28	14	26	166	0.08433734939759036
28	93	12	166	0.5602409638554217
28	166	52	166	1.0
29	1	1	180	0.005555555555555556
29	2	1	180	0.011111111111111112
29	3	1	180	0.016666666666666666
29	4	1	180	0.022222222222222223
29	5	1	180	0.027777777777777776
29	6	1	180	0.03333333333333333
29	7	1	180	0.03888888888888889
29	8	1	180	0.044444444444444446
29	9	1	180	0.05
29	10	1	180	0.05555555555555555
29	11	1	180	0.06111111111111111
29	12	1	180	0.06666666666666667
29	13	1	180	0.07222222222222222
29	14	1	180	0.07777777777777778
29	15	26	180	0.08333333333333333
29	101	12	180	0.5611111111111111
29	180	54	180	1.0
30	1	1	192	0.005208333333333333
30	2	1	192	0.010416666666666666
30	3	1	192	0.015625
30	4	1	192	0.020833333333333332
30	5	1	192	0.026041666666666668
30	6	1	192	0.03125
30	7	1	192	0.036458333333333336
30	8	1	192	0.041666666666666664
30	9	1	192	0.046875
30	10	1	192	0.052083333333333336
30	11	1	192	0.057291666666666664
30	12	1	192	0.0625
30	13	1	192	0.06770833333333333
30	14	1	192	0.07291666666666667
30	15	28	192	0.078125
30	107	14	192	0.5572916666666666
30	192	56	192	1.0
31	1	1	207	0.004830917874396135
31	2	1	207	0.00966183574879227
31	3	1	207	0.014492753623188406
31	4	1	207	0.01932367149758454
31	5	1	207	0.024154589371980676
31	6	1	207	0.028985507246376812
31	7	1	207	0.033816425120772944
31	8	1	207	0.03864734299516908
31	9	1	207	0.043478260869565216
31	10	1	207	0.04830917874396135
31	11	1	207	0.05314009661835749
31	12	1	207	0.057971014492753624
31	13	1	207	0.06280193236714976
31	14	1	207	0.06763285024154589
31	15	1	207	0.07246376811594203
31	16	28	207	0.07729468599033816
31	115	14	207	0.5555555555555556
31	207	58	207	1.0
32	1	1	221	0.004524886877828055
32	2	1	221	0.00904977375565611
32	3	1	221	0.013574660633484163
32	4	1	221	0.01809954751131222
32	5	1	221	0.02262443438914027
32	6	1	221	0.027149321266968326
32	7	1	221	0.03167420814479638
32	8	1	221	0.03619909502262444
32	9	1	221	0.04072398190045249
32	10	1	221	0.04524886877828054
32	11	1	221	0.049773755656108594
32	12	1	221	0.05429864253393665
32	13	1	221	0.058823529411764705
32	14	1	221	0.06334841628959276
32	15	1	221	0.06787330316742081
32	16	30	221	0.07239819004524888
32	122	14	221	0.5520361990950227
32	221	60	221	1.0
33	1	1	237	0.004219409282700422
33	2	1	237	0.008438818565400843
33	3	1	237	0.012658227848101266
33	4	1	237	0.016877637130801686
33	5	1	237	0.02109704641350211
33	6	1	237	0.02531645569620253
33	7	1	237	0.029535864978902954
33	8	1	237	0.03375527426160337
33	9	1	237	0.0379746835443038
33	10	1	237	0.04219409282700422
33	11	1	237	0.046413502109704644
33	12	1	237	0.05063291139240506
33	13	1	237	0.05485232067510549
33	14	1	237	0.05907172995780591
33	15	1	237	0.06329113924050633
33	16	1	237	0.06751054852320675
33	17	30	237	0.07172995780590717
33	131	14	237	0.5527426160337553
33	237	62	237	1.0
34	1	1	251	0.00398406374501992
34	2	1	251	0.00796812749003984
34	3	1	251	0.01195219123505976
34	4	1	251	0.01593625498007968
34	5	1	251	0.0199203187250996
34	6	1	251	0.02390438247011952
34	7	1	251	0.027888446215139442
34	8	1	251	0.03187250996015936
34	9	1	251	0.035856573705179286
34	10	1	251	0.0398406374501992
34	11	1	251	0.043824701195219126
34	12	1	251	0.04780876494023904
34	13	1	251	0.05179282868525897
34	14	1	251	0.055776892430278883
34	15	1	251	0.05976095617529881
34	16	1	251	0.06374501992031872
34	17	32	251	0.06772908366533864
34	138	16	251	0.549800796812749
34	251	64	251	1.0
35	1	1	268	0.0037313432835820895
35	2	1	268	0.007462686567164179
35	3	1	268	0.011194029850746268
35	4	1	268	0.014925373134328358
35	5	1	268	0.018656716417910446
35	6	1	268	0.022388059701492536
35	7	1	268	0.026119402985074626
35	8	1	268	0.029850746268656716
35	9	1	268	0.033582089552238806
35	10	1	268	0.03731343283582089
35	11	1	268	0.041044776119402986
35	12	1	268	0.04477611940298507
35	13	1	268	0.048507462686567165
35	14	1	268	0.05223880597014925
35	15	1	268	0.055970149253731345
35	16	1	268	0.05970149253731343
35	17	1	268	0.06343283582089553
35	18	32	268	0.06716417910447761
35	147	16	268	0.5485074626865671
35	268	66	268	1.0
36	1	1	284	0.0035211267605633804
36	2	1	284	0.007042253521126761
36	3	1	284	0.01056338028169014
36	4	1	284	0.014084507042253521
36	5	1	284	0.017605633802816902
36	6	1	284	0.02112676056338028
36	7	1	284	0.02464788732394366
36	8	1	284	0.028169014084507043
36	9	1	284	0.03169014084507042
36	10	1	284	0.035211267605633804
36	11	1	284	0.03873239436619718
36	12	1	284	0.04225352112676056
36	13	1	284	0.045774647887323945
36	14	1	284	0.04929577464788732
36	15	1	284	0.0528169014084507
36	16	1	284	0.056338028169014086
36	17	1	284	0.05985915492957746
36	18	34	284	0.06338028169014084
36	155	16	284	0.545774647887324
36	284	68	284	1.0
37	1	1	302	0.0033112582781456954
37	2	1	302	0.006622516556291391
37	3	1	302	0.009933774834437087
37	4	1	302	0.013245033112582781
37	5	1	302	0.016556291390728478
37	6	1	302	0.019867549668874173
37	7	1	302	0.023178807947019868
37	8	1	302	0.026490066225165563
37	9	1	302	0.029801324503311258
37	10	1	302	0.033112582781456956
37	11	1	302	0.03642384105960265
37	12	1	302	0.039735099337748346
37	13	1	302	0.04304635761589404
37	14	1	302	0.046357615894039736
37	15	1	302	0.04966887417218543
37	16	1	302	0.052980132450331126
37	17	1	302	0.056291390728476824
37	18	1	302	0.059602649006622516
37	19	34	302	0.06291390728476821
37	165	16	302	0.5463576158940397
37	302	70	302	1.0
38	1	1	318	0.0031446540880503146
38	2	1	318	0.006289308176100629
38	3	1	318	0.009433962264150943
38	4	1	318	0.012578616352201259
38	5	1	318	0.015723270440251572
38	6	1	318	0.018867924528301886
38	7	1	318	0.0220125786163522
38	8	1	318	0.025157232704402517
38	9	1	318	0.02830188679245283
38	10	1	318	0.031446540880503145
38	11	1	318	0.03459119496855346
38	12	1	318	0.03773584905660377
38	13	1	318	0.040880503144654086
38	14	1	318	0.0440251572327044
38	15	1	318	0.04716981132075472
38	16	1	318	0.050314465408805034
38	17	1	318	0.05345911949685535
38	18	1	318	0.05660377358490566
38	19	36	318	0.059748427672955975
38	173	18	318	0.5440251572327044
38	318	72	318	1.0
39	1	1	337	0.002967359050445104
39	2	1	337	0.005934718100890208
39	3	1	337	0.008902077151335312
39	4	1	337	0.011869436201780416
39	5	1	337	0.01483679525222552
39	6	1	337	0.017804154302670624
39	7	1	337	0.020771513353115726
39	8	1	337	0.02373887240356083
39	9	1	337	0.026706231454005934
39	10	1	337	0.02967359050445104
39	11	1	337	0.032640949554896145
39	12	1	337	0.03560830860534125
39	13	1	337	0.03857566765578635
39	14	1	337	0.04154302670623145
39	15	1	337	0.04451038575667656
39	16	1	337	0.04747774480712166
39	17	1	337	0.050445103857566766
39	18	1	337	0.05341246290801187
39	19	1	337	0.05637982195845697
39	20	36	337	0.05934718100890208
39	183	18	337	0.543026706231454
39	337	74	337	1.0
40	1	1	355	0.0028169014084507044
40	2	1	355	0.005633802816901409
40	3	1	355	0.008450704225352112
40	4	1	355	0.011267605633802818
40	5	1	355	0.014084507042253521
40	6	1	355	0.016901408450704224
40	7	1	355	0.01971830985915493
40	8	1	355	0.022535211267605635
40	9	1	355	0.02535211267605634
40	10	1	355	0.028169014084507043
40	11	1	355	0.030985915492957747
40	12	1	355	0.03380281690140845
40	13	1	355	0.036619718309859155
40	14	1	355	0.03943661971830986
40	15	1	355	0.04225352112676056
40	16	1	355	0.04507042253521127
40	17	1	355	0.04788732394366197
40	18	1	355	0.05070422535211268
40	19	1	355	0.05352112676056338
40	20	38	355	0.056338028169014086
40	192	18	355	0.5408450704225352
40	355	76	355	1.0
